dia_de_semana,momento_dia,count
Tuesday,Noche,420
Wednesday,Madrugada,642
Thursday,Madrugada,769
Saturday,Tarde,335
Thursday,Mañana,679
Saturday,Mañana,298
Wednesday,Mediodia,315
Friday,Mañana,722
Saturday,Mediodia,318
Tuesday,Tarde,262
Sunday,Madrugada,1917
Sunday,Tarde,419
Monday,Mediodia,310
Monday,Tarde,323
Friday,Madrugada,934
Friday,Mediodia,345
Sunday,Noche,575
Monday,Noche,362
Wednesday,Noche,389
Thursday,Noche,502
Thursday,Mediodia,304
Monday,Madrugada,634
Wednesday,Mañana,694
Sunday,Mediodia,342
Tuesday,Madrugada,609
Tuesday,Mañana,663
Monday,Mañana,651
Sunday,Mañana,202
Thursday,Tarde,332
Friday,Noche,632
Tuesday,Mediodia,282
Friday,Tarde,326
Saturday,Madrugada,1650
Saturday,Noche,721
Wednesday,Tarde,270
