taxi_driver,trips,duration_average
8,143,890.013986013986
719,24,1155.9583333333333
794,13,710.5384615384615
775,16,1043.1875
55,29,892.4827586206897
842,3,548.0
459,19,995.7894736842105
607,8,1033.375
545,17,1027.1764705882354
766,22,940.5454545454545
819,3,919.6666666666666
758,12,667.4166666666666
790,1,1167.0
836,29,988.9655172413793
202,4,1186.75
528,3,1257.6666666666667
741,56,1005.9107142857143
495,17,1082.8823529411766
786,13,686.2307692307693
389,8,1013.5
291,18,887.9444444444445
605,12,698.0833333333334
18,4,852.0
143,5,689.4
549,4,894.5
565,4,417.75
290,68,986.1176470588235
109,35,978.6
859,4,994.75
46,4,735.25
534,25,1007.8
901,7,714.2857142857143
397,51,836.4313725490196
828,52,853.7307692307693
555,3,688.6666666666666
198,86,920.2674418604652
273,24,1007.7083333333334
1018,6,771.0
17,9,1242.5555555555557
543,1,857.0
220,20,786.05
1015,18,762.7222222222222
10,17,899.0
1016,11,821.1818181818181
726,17,1256.0588235294117
1012,4,963.0
966,26,863.9230769230769
999,30,862.6
169,12,1002.0
297,6,802.3333333333334
628,1,1354.0
285,7,1189.142857142857
749,5,808.6
280,8,863.875
997,1,345.0
919,8,849.75
725,2,933.0
422,58,963.1551724137931
1135,2,595.0
942,2,1116.5
270,11,960.5454545454545
1162,2,598.5
681,9,726.4444444444445
793,11,849.3636363636364
343,3,549.3333333333334
928,3,468.6666666666667
882,1,779.0
1163,1,432.0
1183,6,919.8333333333334
655,3,643.3333333333334
1143,2,1094.5
1186,14,775.0
488,3,989.3333333333334
180,5,961.2
1194,13,1196.1538461538462
981,3,496.6666666666667
307,1,848.0
561,1,1192.0
420,72,970.3472222222222
787,91,881.1208791208791
781,55,1025.1272727272728
813,12,912.8333333333334
661,46,884.4347826086956
461,20,1047.7
238,2,806.5
433,89,887.4157303370787
541,44,875.7045454545455
317,15,1050.2666666666667
209,32,905.53125
811,30,833.1666666666666
623,10,748.4
256,91,863.7582417582418
441,3,775.3333333333334
76,40,973.325
685,18,849.1666666666666
622,1,820.0
438,45,978.1111111111111
651,4,812.0
710,19,881.3684210526316
929,1,283.0
476,4,934.25
467,82,975.3780487804878
260,14,944.2142857142857
268,9,966.6666666666666
945,12,967.5
455,1,968.0
206,1,180.0
722,3,956.3333333333334
427,44,861.3181818181819
801,1,1303.0
1000,3,562.3333333333334
442,42,791.547619047619
121,3,935.3333333333334
378,15,1015.9333333333333
1013,5,869.4
1040,1,1019.0
394,4,577.25
